title,price,discount_price,discount,resolution,screen_width,os,cpu,cpu_proc_speed,gpu,ram,storage,front_camera,rear_camera,battery,size,weight,brand,link
Samsung Galaxy Tab A8,6990000.0,5790000.0,17%,1200 x 1920 Pixels,"10.5""",Android 11,UniSOC T618,2 nhân 2.0 GHz & 6 nhân 2.0 GHz,Mali G52 MP2,4 GB,64 GB,5 MP,8 MP; FHD (1920 x 1080)@30fps; Tự động lấy nét,7040 mAh,Dài 246.8 mm - Ngang 161.9 mm - Dày 6.9 mm,508 g,,https://viettelstore.vn/may-tinh-bang/samsung-galaxy-tab-a8-pid288919.html
Máy tính bảng Samsung Galaxy Tab S7 FE,13990000.0,11990000.0,14%,1600 x 2560 Pixels,"12.4"" - Tần số quét Hãng không công bố",Android 11,Snapdragon 750G,2 nhân 2.2 GHz & 6 nhân 1.8 GHz,Adreno 619,4 GB,64 GB,5 MP; Quay video Full HD; Quay video HD; Tự động lấy nét (AF),"8 MP, Quay phim; Chạm lấy nét; HDR; Nhận diện khuôn mặt; Tự động lấy nét (AF)",10090 mAh,Dài 284.8 mm - Ngang 185 mm - Dày 6.3 mm,608 g,,https://viettelstore.vn/may-tinh-bang/may-tinh-bang-samsung-galaxy-tab-s7-fe-pid199369.html
Samsung Galaxy Tab S8 Wifi 8/256GB,17990000.0,11990000.0,33%,2560 x 1600 Pixels (2K) (WQXGA),"11.0"" (278.1 mm)- Tần số quét 120 Hz","Android 12, UI 4.1",Snapdragon 8 Gen 1,"2.99 GHz, 2.4 GHz, 1.7 GHz",Adreno 730,8 GB,256 GB,"Camera góc siêu rộng 12 MP, Flash","Camera chính: 13 MP, Camera góc siêu rộng: 6 MP; Chạm lấy nét; Chuyên nghiệp (Pro); Góc siêu rộng; Làm đẹp; Toàn cảnh (Panorama); Tua nhanh thời gian (Time‑lapse); Xóa phông; Zoom kỹ thuật số; Ánh sáng yếu (Chụp đêm); Đèn Flash; Tự động lấy nét",8000 mAh; Sạc nhanh 45 W,165.3 x 253.8 x 6.3 mm,503 g,,https://viettelstore.vn/may-tinh-bang/samsung-galaxy-tab-s8-wifi-8-256gb-pid312675.html
OPPO Pad Air 64GB,6690000.0,5690000.0,15%,1200 x 2000,10.36 inch,"ColorOS 12.1, nền tảng Android 12","Qualcomm Snapdragon™ 680 , tối đa 2.4GHz",,Adreno 610,4GB,64GB,,8MP; F/2.0,7100mAh (Typ),245.08 x 154.84 x 6.94 mm,Khoảng 440g (Bao gồm pin),,https://viettelstore.vn/may-tinh-bang/oppo-pad-air-64gb-pid292525.html
MTB Masstel Tab 10.1 Pro,3990000.0,3490000.0,13%,1280*800,10.1 inch,Android 11,,SCT310 4 nhân; 2.0GHz,GE8300,4GB,64GB (≤ 54GB),Camera trước: 5MP,Camera sau: 8MP AF,6000 mAh,Dài 224 mm – Ngang 162.6 mm – Dày 9.2 mm,527g,,https://viettelstore.vn/may-tinh-bang/mtb-masstel-tab-10-1-pro-pid312658.html
Xiaomi Pad 6,10490000.0,9790000.0,7%,,,Android 13,,,,8 GB,,8 MP,,,,,,https://viettelstore.vn/may-tinh-bang/xiaomi-pad-6-pid316126.html
Redmi Pad 3/64GB,6290000.0,4590000.0,27%,1200 x 2000 Pixels 90 Hz,"10.61""",Android 12,MediaTek Helio G99,8 nhân 2.2 GHz,Mali-G57 MC2,3 GB,64 GB,8 MP,8 MP,8000 mAh,Dài 250.38 mm - Ngang 157.98 mm - Dày 7.05 mm,Nặng 445 g,,https://viettelstore.vn/may-tinh-bang/redmi-pad-3-64gb-pid294471.html
Máy tính bảng Xiaomi Pad 5 6/256GB,10490000.0,10490000.0,0%,1600 x 2560 Pixels,"11"" - Tần số quét 120 Hz",Android 11,Snapdragon 860,"8 nhân; 1 nhân 2.96 GHz, 3 nhân 2.42 GHz & 4 nhân 1.78 GHz",Adreno 640,6 GB,256GB,8 MP; Quay video Full HD; Quay video HD ; Tự động lấy nét (AF),"13 MP, Quay phim: 4K 2160p@30fpsFullHD 1080p@30fps; Chạm lấy nét; HDR; Nhận diện khuôn mặt; Toàn cảnh (Panorama); Tự động lấy nét (AF)",8720 mAh,Dài 254.7 mm - Ngang 166.3 mm - Dày 6.85 mm,511 g,,https://viettelstore.vn/may-tinh-bang/may-tinh-bang-xiaomi-pad-5-6-256gb-pid288677.html
iPad Air (Gen 5) WIFI 5G 256GB,23990000.0,21990000.0,8%,1640 x 2360 Pixels,"10.9""",iPadOS 15,Apple M1,8 nhân,Apple GPU 8 nhân,8 GB,256 GB,"12 MP; Bộ lọc màu, Góc rộng, Live Photos, Quay video HD, Tự động lấy nét (AF)","12 MP; Quay phim: 4K 2160p@24fps, 4K 2160p@25fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@25fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps; Góc rộng, Gắn thẻ địa lý, HDR, Quay chậm (Slow Motion), Toàn cảnh (Panorama), Tua nhanh thời gian (Time‑lapse), Tự động lấy nét (AF), Zoom kỹ thuật số",28.6 Wh (~ 7587 mAh),Dài 247.6 mm - Ngang 178.5 mm - Dày 6.1 mm,462 g,,https://viettelstore.vn/may-tinh-bang/ipad-air-gen-5-5g-256gb-pid289290.html
iPad mini (Gen 6) Wifi 5G 64GB,18990000.0,15890000.0,16%,1488 x 2266 Pixels,"8.3""",iPadOS 15,Apple A15 Bionic,6 nhân,Apple GPU 5 nhân,4 GB,64 GB,12 MP; HDR; Quay video Full HD; Quay video HD; Tự động lấy nét (AF);,"12MP, 4K 2160p@24fps; 4K 2160p@25fps; 4K 2160p@30fps; 4K 2160p@60fps; FullHD 1080p@25fps; FullHD 1080p@30fps; FullHD 1080p@60fps, Chạm lấy nét; Gắn thẻ địa lý; HDR; Nhận diện khuôn mặt; Toàn cảnh (Panorama); Tự động lấy nét (AF); Zoom kỹ thuật số",19.3 Wh,Dài 195.4 mm - Ngang 134.8 mm - Dày 6.3 mm,293 g,,https://viettelstore.vn/may-tinh-bang/ipad-mini-gen-6-wifi-5g-64gb-pid288696.html
